id,sector,skills,education,location
786,Education,Curriculum Development; Public Speaking; Teaching; Assessment Design; Classroom Management; Educational Research,PhD Education,Thane
787,Gems & Jewellery,CAD Design; Merchandising; Jewellery Design; Retail Management,B.Des Jewellery,Ludhiana
788,Agriculture,Crop Management; Fertilizer Application; Irrigation Systems,B.Sc Agriculture,Kolkata
789,FMCG,Product Management; Supply Chain; Marketing; Consumer Behaviour; Sales,MBA Marketing,Vijayawada
790,FMCG,Consumer Behaviour; Supply Chain; Product Management; Marketing; Sales,BBA,Solapur
791,IT/Software,Data Analysis; SQL; Java; C++; Web Development; Cybersecurity,B.Tech Information Technology,Kalyan
792,Design,AutoCAD; Illustration; 3D Modeling; Graphic Design; UI/UX; Adobe Photoshop,Diploma in Design,Meerut
793,Healthcare,Surgery Assistance; Public Health; Nursing; Patient Care; Phlebotomy,Diploma in Medical Lab Technology,Guwahati
794,Healthcare,Surgery Assistance; Public Health; Clinical Research; Patient Care,B.Sc Nursing,Kanpur
795,Chemical Industries,Material Science; Safety Management; Chemical Engineering; Quality Control; Process Design; Industrial Chemistry,M.Sc Chemistry,Ghaziabad
796,Housing/Infrastructure,Construction Management; Civil Engineering; AutoCAD; Structural Analysis; Project Management; Urban Planning,Diploma Civil,Agra
797,IT/Software,Machine Learning; Python; Data Analysis,B.Tech Information Technology,Allahabad
798,Pharamaceutical,Pharmacology; Quality Control; Clinical Trials; Regulatory Affairs; Medical Research,PhD Pharmacy,Tiruchirappalli
799,Design,Illustration; Adobe Photoshop; AutoCAD,Diploma in Design,Tiruchirappalli
800,Pharamaceutical,Medical Research; Quality Control; Clinical Trials; Regulatory Affairs,M.Pharm,Raipur
801,Travel & Logistics,Customer Service; Warehouse Management; Transportation Planning; Inventory Management; Supply Chain; Operations Management,MBA Operations,Hyderabad
802,Finance/Banking,Investment Banking; Auditing; Data Analysis,CA,Aligarh
803,Finance/Banking,Investment Banking; Auditing; Accounting,MBA Finance,Meerut
804,Chemical Industries,Process Design; Industrial Chemistry; Material Science; Chemical Engineering; Safety Management; Quality Control,M.Sc Chemistry,Solapur
805,Housing/Infrastructure,Construction Management; Civil Engineering; AutoCAD; Structural Analysis; Project Management; Urban Planning,B.Tech Civil,Kalyan
806,FMCG,Brand Management; Consumer Behaviour; Sales,Diploma Business Management,Madurai
807,Housing/Infrastructure,Civil Engineering; Construction Management; Urban Planning; AutoCAD; Project Management,B.Tech Civil,Chandigarh
808,Finance/Banking,Excel; Risk Management; Investment Banking; Auditing; Accounting,B.Com,Kalyan
809,Travel & Logistics,Supply Chain; Inventory Management; Operations Management; Transportation Planning; Customer Service,MBA Operations,Vijayawada
810,Research,Machine Learning; Data Analysis; Experimentation; Laboratory Techniques; Statistics,M.Tech,Mumbai
811,Gems & Jewellery,Gemology; Retail Management; Jewellery Design; CAD Design; Merchandising,Diploma Jewellery Design,Patna
812,Healthcare,Public Health; Nursing; Phlebotomy; Clinical Research; Surgery Assistance; Patient Care,MD,Lucknow
813,Travel & Logistics,Transportation Planning; Supply Chain; Inventory Management,BBA,Kolkata
814,Defence,Navigation Systems; Weapon Systems; Military Tactics; Cybersecurity; Strategic Planning,Defence Studies,Amritsar
815,Finance/Banking,Risk Management; Financial Analysis; Investment Banking; Accounting,B.Com,Delhi
816,Gems & Jewellery,Retail Management; CAD Design; Gemology,Diploma Jewellery Design,Nagpur
817,Design,Illustration; UI/UX; Adobe Photoshop,B.Des,Lucknow
818,Housing/Infrastructure,AutoCAD; Structural Analysis; Civil Engineering; Construction Management; Urban Planning; Project Management,B.Tech Civil,Chennai
819,Pharamaceutical,Quality Control; Clinical Trials; Regulatory Affairs; Drug Development; Medical Research,M.Pharm,Kolkata
820,FMCG,Brand Management; Supply Chain; Consumer Behaviour,BBA,Visakhapatnam
821,Defence,Aerospace Engineering; Cybersecurity; Navigation Systems; Weapon Systems; Strategic Planning; Military Tactics,Defence Studies,Bareilly
822,Defence,Weapon Systems; Cybersecurity; Military Tactics,Defence Studies,Visakhapatnam
823,Education,Teaching; Public Speaking; Assessment Design; Curriculum Development; Classroom Management; Educational Research,B.Ed,Mumbai
824,Defence,Military Tactics; Aerospace Engineering; Navigation Systems; Strategic Planning,Defence Studies,Ghaziabad
825,Research,Laboratory Techniques; Scientific Writing; Experimentation; Machine Learning; Statistics; Data Analysis,PhD,Kanpur
826,Pharamaceutical,Quality Control; Medical Research; Pharmacology,PhD Pharmacy,Kolkata
827,Research,Machine Learning; Scientific Writing; Experimentation; Data Analysis,M.Sc Research Methodology,Pune
828,IT/Software,Cybersecurity; Data Analysis; Python; Web Development; C++; SQL,B.Tech Information Technology,Indore
829,Travel & Logistics,Customer Service; Inventory Management; Transportation Planning; Operations Management,Diploma Logistics,Jaipur
830,Agriculture,Fertilizer Application; Farm Mechanization; Agribusiness; Irrigation Systems,M.Sc Agriculture,Jodhpur
831,Travel & Logistics,Inventory Management; Supply Chain; Operations Management; Customer Service; Transportation Planning,BBA,Kolkata
832,Pharamaceutical,Quality Control; Clinical Trials; Pharmacology; Medical Research,M.Pharm,Delhi
833,Gems & Jewellery,Gemology; Jewellery Design; Retail Management; CAD Design,Certificate in Gemology,Mysore
834,Pharamaceutical,Medical Research; Clinical Trials; Drug Development; Pharmacology; Quality Control,PhD Pharmacy,Navi Mumbai
835,Education,Educational Research; Classroom Management; Curriculum Development; Public Speaking; Teaching,PhD Education,Agra
836,Chemical Industries,Industrial Chemistry; Chemical Engineering; Quality Control; Safety Management; Material Science; Process Design,B.Tech Chemical Engineering,Allahabad
837,Gems & Jewellery,Jewellery Design; Quality Control; Retail Management; CAD Design; Merchandising,B.Des Jewellery,Guwahati
838,Research,Laboratory Techniques; Statistics; Machine Learning; Experimentation; Data Analysis,M.Tech,Ghaziabad
839,Chemical Industries,Chemical Engineering; Industrial Chemistry; Material Science; Quality Control,M.Sc Chemistry,Chandigarh
840,Travel & Logistics,Supply Chain; Operations Management; Customer Service; Warehouse Management; Inventory Management; Transportation Planning,MBA Operations,Vadodara
841,Housing/Infrastructure,Project Management; AutoCAD; Structural Analysis; Urban Planning,M.Tech Structural Engineering,Vadodara
842,Defence,Cybersecurity; Navigation Systems; Weapon Systems; Strategic Planning,B.Tech Electronics,Navi Mumbai
843,Research,Scientific Writing; Data Analysis; Experimentation; Laboratory Techniques; Machine Learning,M.Sc Research Methodology,Chandigarh
844,Defence,Strategic Planning; Cybersecurity; Military Tactics; Navigation Systems; Aerospace Engineering; Weapon Systems,B.Tech Electronics,Visakhapatnam
845,Design,AutoCAD; Graphic Design; Adobe Photoshop; Illustration; UI/UX,B.Des,Howrah
846,Healthcare,Surgery Assistance; Nursing; Clinical Research; Public Health; Phlebotomy,B.Sc Nursing,Mysore
847,Defence,Navigation Systems; Military Tactics; Cybersecurity; Weapon Systems; Strategic Planning,B.Tech Mechanical,Aurangabad
848,Housing/Infrastructure,AutoCAD; Urban Planning; Structural Analysis; Construction Management; Civil Engineering,M.Tech Structural Engineering,Mumbai
849,Chemical Industries,Quality Control; Chemical Engineering; Material Science; Process Design; Safety Management; Industrial Chemistry,B.Tech Chemical Engineering,Solapur
850,Finance/Banking,Auditing; Data Analysis; Accounting; Financial Analysis; Excel,CA,Bangalore
851,Travel & Logistics,Customer Service; Supply Chain; Transportation Planning; Warehouse Management; Inventory Management; Operations Management,Diploma Logistics,Vadodara
852,Pharamaceutical,Medical Research; Clinical Trials; Quality Control; Pharmacology; Drug Development; Regulatory Affairs,B.Pharm,Kalyan
853,Research,Machine Learning; Experimentation; Laboratory Techniques; Scientific Writing,PhD,Indore
854,Finance/Banking,Investment Banking; Financial Analysis; Data Analysis; Accounting,B.Com,Kolkata
855,FMCG,Supply Chain; Sales; Marketing; Consumer Behaviour; Product Management,BBA,Chennai
856,Healthcare,Public Health; Phlebotomy; Patient Care; Clinical Research; Nursing; Surgery Assistance,Diploma in Medical Lab Technology,Navi Mumbai
857,Pharamaceutical,Regulatory Affairs; Quality Control; Medical Research; Pharmacology,PhD Pharmacy,Allahabad
858,Travel & Logistics,Warehouse Management; Transportation Planning; Customer Service; Operations Management,Diploma Logistics,Chennai
859,Design,Illustration; Graphic Design; AutoCAD; UI/UX; 3D Modeling; Adobe Photoshop,B.Des,Aligarh
860,Finance/Banking,Financial Analysis; Data Analysis; Auditing; Excel,CA,Chennai
861,Healthcare,Patient Care; Clinical Research; Public Health; Surgery Assistance; Phlebotomy,Diploma in Medical Lab Technology,Nashik
862,Finance/Banking,Accounting; Risk Management; Data Analysis; Financial Analysis,B.Com,Chennai
863,Travel & Logistics,Operations Management; Warehouse Management; Inventory Management,BBA,Kolkata
864,Research,Experimentation; Scientific Writing; Laboratory Techniques,M.Tech,Srinagar
865,IT/Software,Cybersecurity; Machine Learning; Cloud Computing; Python,MCA,Solapur
866,Research,Scientific Writing; Experimentation; Machine Learning,M.Tech,Ranchi
867,Pharamaceutical,Clinical Trials; Quality Control; Medical Research,PhD Pharmacy,Chandigarh
868,FMCG,Supply Chain; Sales; Marketing; Brand Management; Product Management,MBA Marketing,Srinagar
869,Pharamaceutical,Regulatory Affairs; Drug Development; Clinical Trials; Medical Research; Quality Control; Pharmacology,M.Pharm,Jodhpur
870,Finance/Banking,Auditing; Risk Management; Financial Analysis,B.Com,Indore
871,Education,Assessment Design; Educational Research; Public Speaking; Curriculum Development; Teaching; Classroom Management,M.Ed,Pune
872,Research,Scientific Writing; Statistics; Data Analysis; Laboratory Techniques; Experimentation; Machine Learning,M.Tech,Ranchi
873,Research,Laboratory Techniques; Data Analysis; Experimentation; Machine Learning; Statistics; Scientific Writing,M.Tech,Mysore
874,Travel & Logistics,Customer Service; Warehouse Management; Inventory Management,Diploma Logistics,Aurangabad
875,Healthcare,Nursing; Patient Care; Public Health; Clinical Research; Phlebotomy; Surgery Assistance,B.Sc Nursing,Bareilly
876,Pharamaceutical,Regulatory Affairs; Clinical Trials; Quality Control; Drug Development,M.Pharm,Solapur
877,Education,Assessment Design; Classroom Management; Educational Research; Teaching; Curriculum Development; Public Speaking,B.Ed,Meerut
878,IT/Software,Web Development; Machine Learning; C++; Cloud Computing; Python; Cybersecurity,MCA,Guwahati
879,Pharamaceutical,Quality Control; Pharmacology; Drug Development,PhD Pharmacy,Ranchi
880,Research,Data Analysis; Laboratory Techniques; Machine Learning; Experimentation; Statistics; Scientific Writing,M.Tech,Amritsar
881,Finance/Banking,Auditing; Financial Analysis; Accounting; Investment Banking,CA,Bangalore
882,Research,Laboratory Techniques; Statistics; Experimentation; Scientific Writing; Data Analysis,M.Sc Research Methodology,Ahmedabad
883,Finance/Banking,Investment Banking; Data Analysis; Auditing; Excel,MBA Finance,Patna
884,Chemical Industries,Chemical Engineering; Material Science; Industrial Chemistry; Safety Management; Quality Control,B.Tech Chemical Engineering,Kanpur
885,Chemical Industries,Process Design; Industrial Chemistry; Quality Control; Chemical Engineering; Safety Management,B.Tech Chemical Engineering,Aligarh
886,FMCG,Brand Management; Sales; Supply Chain; Consumer Behaviour; Product Management; Marketing,BBA,Delhi
887,Gems & Jewellery,Jewellery Design; Merchandising; Quality Control; CAD Design; Retail Management,Diploma Jewellery Design,Mysore
888,Finance/Banking,Auditing; Investment Banking; Accounting,MBA Finance,Chennai
889,Design,UI/UX; Graphic Design; Adobe Photoshop; Illustration,Diploma in Design,Chennai
890,Healthcare,Surgery Assistance; Clinical Research; Phlebotomy,MD,Meerut
891,Gems & Jewellery,Quality Control; Merchandising; Retail Management,B.Des Jewellery,Howrah
892,Housing/Infrastructure,Construction Management; Urban Planning; Structural Analysis; Civil Engineering; AutoCAD; Project Management,M.Tech Structural Engineering,Varanasi
893,Travel & Logistics,Customer Service; Operations Management; Inventory Management; Warehouse Management; Transportation Planning,Diploma Logistics,Chennai
894,IT/Software,Web Development; Cybersecurity; Cloud Computing,MCA,Meerut
895,Agriculture,Crop Management; Agribusiness; Farm Mechanization; Irrigation Systems; Soil Science,B.Sc Agriculture,Srinagar
896,Pharamaceutical,Pharmacology; Drug Development; Medical Research; Regulatory Affairs,M.Pharm,Bangalore
897,IT/Software,Web Development; Machine Learning; C++; Java; Python,MCA,Jodhpur
898,Defence,Aerospace Engineering; Weapon Systems; Cybersecurity; Military Tactics; Navigation Systems; Strategic Planning,Defence Studies,Mumbai
899,Research,Machine Learning; Laboratory Techniques; Data Analysis; Statistics; Scientific Writing; Experimentation,M.Sc Research Methodology,Kanpur
900,Agriculture,Farm Mechanization; Irrigation Systems; Agribusiness,B.Sc Agriculture,Vadodara
901,IT/Software,Data Analysis; Cybersecurity; Python; Machine Learning; Java; Web Development,B.Tech Information Technology,Mumbai
902,Design,Adobe Photoshop; Graphic Design; 3D Modeling; AutoCAD; UI/UX,M.Des,Bangalore
903,Education,Public Speaking; Assessment Design; Educational Research; Teaching,B.Ed,Patna
904,FMCG,Supply Chain; Product Management; Consumer Behaviour; Brand Management; Marketing; Sales,MBA Marketing,Bhopal
905,Housing/Infrastructure,Civil Engineering; Structural Analysis; AutoCAD; Project Management; Construction Management; Urban Planning,M.Tech Structural Engineering,Ranchi
906,Design,UI/UX; Graphic Design; AutoCAD,B.Des,Kolkata
907,Chemical Industries,Chemical Engineering; Material Science; Quality Control; Process Design; Industrial Chemistry; Safety Management,B.Tech Chemical Engineering,Jabalpur
908,Research,Data Analysis; Experimentation; Scientific Writing; Statistics; Laboratory Techniques,M.Sc Research Methodology,Varanasi
909,Education,Curriculum Development; Teaching; Educational Research; Classroom Management; Public Speaking,B.Ed,Thane
910,FMCG,Product Management; Supply Chain; Marketing; Brand Management; Consumer Behaviour; Sales,BBA,Bangalore
911,Finance/Banking,Auditing; Data Analysis; Accounting; Risk Management,MBA Finance,Chandigarh
912,Education,Educational Research; Public Speaking; Assessment Design; Curriculum Development; Teaching,M.Ed,Rajkot
913,Housing/Infrastructure,Project Management; AutoCAD; Urban Planning,Diploma Civil,Indore
914,Pharamaceutical,Quality Control; Regulatory Affairs; Pharmacology; Medical Research; Clinical Trials,M.Pharm,Varanasi
915,Pharamaceutical,Clinical Trials; Drug Development; Medical Research; Regulatory Affairs; Quality Control; Pharmacology,M.Pharm,Lucknow
916,Defence,Cybersecurity; Navigation Systems; Strategic Planning; Military Tactics; Aerospace Engineering,Defence Studies,Visakhapatnam
917,Chemical Industries,Safety Management; Material Science; Quality Control; Chemical Engineering,M.Sc Chemistry,Gwalior
918,FMCG,Product Management; Sales; Brand Management; Marketing; Supply Chain; Consumer Behaviour,Diploma Business Management,Nagpur
919,Chemical Industries,Quality Control; Material Science; Chemical Engineering; Safety Management; Process Design,B.Tech Chemical Engineering,Bhopal
920,Travel & Logistics,Warehouse Management; Transportation Planning; Customer Service; Operations Management,MBA Operations,Visakhapatnam
921,Research,Statistics; Scientific Writing; Data Analysis,M.Tech,Ahmedabad
922,Research,Data Analysis; Statistics; Scientific Writing; Experimentation; Laboratory Techniques; Machine Learning,M.Sc Research Methodology,Faridabad
923,Chemical Industries,Process Design; Quality Control; Safety Management; Material Science,B.Tech Chemical Engineering,Guwahati
924,Education,Public Speaking; Educational Research; Classroom Management; Curriculum Development; Teaching,M.Ed,Varanasi
925,Housing/Infrastructure,Urban Planning; Civil Engineering; AutoCAD; Structural Analysis; Project Management; Construction Management,Diploma Civil,Varanasi
926,Healthcare,Nursing; Patient Care; Public Health; Phlebotomy,MBBS,Kota
927,Defence,Strategic Planning; Military Tactics; Cybersecurity; Weapon Systems,B.Tech Mechanical,Jodhpur
928,Pharamaceutical,Drug Development; Regulatory Affairs; Medical Research,B.Pharm,Ludhiana
929,Finance/Banking,Data Analysis; Auditing; Financial Analysis,B.Com,Navi Mumbai
930,Housing/Infrastructure,Civil Engineering; Project Management; Structural Analysis; AutoCAD; Construction Management; Urban Planning,M.Tech Structural Engineering,Solapur
931,Healthcare,Surgery Assistance; Phlebotomy; Clinical Research; Patient Care; Public Health; Nursing,MD,Meerut
932,Design,UI/UX; Graphic Design; Adobe Photoshop,B.Des,Lucknow
933,Chemical Industries,Material Science; Industrial Chemistry; Quality Control,B.Tech Chemical Engineering,Solapur
934,Gems & Jewellery,CAD Design; Retail Management; Gemology; Merchandising; Jewellery Design; Quality Control,B.Des Jewellery,Kota
935,Finance/Banking,Data Analysis; Excel; Investment Banking; Risk Management,MBA Finance,Kalyan
936,Education,Teaching; Curriculum Development; Assessment Design,B.Ed,Hubli
937,Finance/Banking,Financial Analysis; Investment Banking; Risk Management; Accounting; Auditing,B.Com,Vijayawada
938,Design,Illustration; Adobe Photoshop; UI/UX; Graphic Design,M.Des,Solapur
939,FMCG,Product Management; Brand Management; Supply Chain,BBA,Bareilly
940,Agriculture,Agribusiness; Crop Management; Irrigation Systems; Farm Mechanization; Fertilizer Application,B.Sc Agriculture,Guwahati
941,IT/Software,SQL; Machine Learning; Cybersecurity; Java; C++,B.Tech Information Technology,Meerut
942,Gems & Jewellery,CAD Design; Jewellery Design; Quality Control,B.Des Jewellery,Navi Mumbai
943,Education,Teaching; Public Speaking; Educational Research; Assessment Design,B.Ed,Pune
944,IT/Software,Cybersecurity; Web Development; Machine Learning; Python; C++; Cloud Computing,MCA,Agra
945,Pharamaceutical,Drug Development; Regulatory Affairs; Medical Research; Clinical Trials; Pharmacology; Quality Control,PhD Pharmacy,Raipur
946,Education,Educational Research; Assessment Design; Public Speaking; Teaching; Classroom Management,B.Ed,Madurai
947,Healthcare,Nursing; Patient Care; Surgery Assistance,MBBS,Faridabad
948,Design,Graphic Design; Illustration; AutoCAD,Diploma in Design,Lucknow
949,Finance/Banking,Risk Management; Auditing; Data Analysis,CA,Vijayawada
950,Education,Teaching; Assessment Design; Public Speaking; Educational Research; Curriculum Development; Classroom Management,M.Ed,Varanasi
951,Chemical Industries,Industrial Chemistry; Material Science; Quality Control; Process Design; Safety Management,M.Sc Chemistry,Kota
952,Travel & Logistics,Transportation Planning; Operations Management; Warehouse Management; Supply Chain; Inventory Management,BBA,Thane
953,Defence,Strategic Planning; Aerospace Engineering; Cybersecurity; Weapon Systems; Navigation Systems; Military Tactics,B.Tech Electronics,Dhanbad
954,Travel & Logistics,Transportation Planning; Supply Chain; Warehouse Management; Operations Management; Inventory Management,MBA Operations,Meerut
955,Gems & Jewellery,Merchandising; Gemology; Retail Management; Quality Control; CAD Design; Jewellery Design,Certificate in Gemology,Howrah
956,Defence,Military Tactics; Weapon Systems; Navigation Systems; Cybersecurity,Defence Studies,Aurangabad
957,Defence,Weapon Systems; Navigation Systems; Military Tactics; Cybersecurity; Strategic Planning; Aerospace Engineering,B.Tech Mechanical,Amritsar
958,FMCG,Supply Chain; Sales; Consumer Behaviour,MBA Marketing,Rajkot
959,Travel & Logistics,Supply Chain; Customer Service; Operations Management; Transportation Planning,Diploma Logistics,Faridabad
960,Defence,Strategic Planning; Cybersecurity; Navigation Systems; Weapon Systems,B.Tech Electronics,Dhanbad
961,Travel & Logistics,Warehouse Management; Inventory Management; Operations Management; Supply Chain,Diploma Logistics,Ludhiana
962,Agriculture,Fertilizer Application; Irrigation Systems; Soil Science; Crop Management,Diploma Agriculture,Nagpur
963,Defence,Strategic Planning; Cybersecurity; Military Tactics; Navigation Systems; Weapon Systems,B.Tech Mechanical,Visakhapatnam
964,Healthcare,Nursing; Clinical Research; Phlebotomy; Public Health; Patient Care; Surgery Assistance,B.Sc Nursing,Tiruchirappalli
965,Gems & Jewellery,Jewellery Design; Gemology; Merchandising,B.Des Jewellery,Kolkata
966,Travel & Logistics,Customer Service; Transportation Planning; Warehouse Management,MBA Operations,Hyderabad
967,Defence,Aerospace Engineering; Navigation Systems; Military Tactics,B.Tech Electronics,Aligarh
968,Defence,Military Tactics; Aerospace Engineering; Strategic Planning; Weapon Systems; Navigation Systems,Defence Studies,Jodhpur
969,Education,Educational Research; Teaching; Classroom Management; Curriculum Development; Public Speaking,B.Ed,Rajkot
970,Research,Experimentation; Data Analysis; Laboratory Techniques,M.Sc Research Methodology,Patna
971,Education,Educational Research; Teaching; Curriculum Development; Classroom Management,M.Ed,Madurai
972,Housing/Infrastructure,Project Management; Structural Analysis; Civil Engineering,B.Tech Civil,Varanasi
973,Agriculture,Crop Management; Soil Science; Agribusiness; Irrigation Systems,M.Sc Agriculture,Meerut
974,Chemical Industries,Industrial Chemistry; Safety Management; Material Science; Chemical Engineering; Quality Control; Process Design,B.Tech Chemical Engineering,Pune
975,Gems & Jewellery,CAD Design; Merchandising; Gemology; Jewellery Design; Quality Control; Retail Management,Certificate in Gemology,Jodhpur
976,Pharamaceutical,Drug Development; Quality Control; Regulatory Affairs; Medical Research; Pharmacology,M.Pharm,Rajkot
977,Design,Adobe Photoshop; 3D Modeling; Illustration; UI/UX; Graphic Design,M.Des,Howrah
978,Housing/Infrastructure,Urban Planning; Construction Management; Project Management; AutoCAD,Diploma Civil,Lucknow
979,Finance/Banking,Data Analysis; Accounting; Investment Banking,B.Com,Allahabad
980,Pharamaceutical,Medical Research; Quality Control; Clinical Trials; Drug Development; Regulatory Affairs,PhD Pharmacy,Pune
981,Healthcare,Clinical Research; Public Health; Nursing; Patient Care; Surgery Assistance,Diploma in Medical Lab Technology,Nashik
982,Agriculture,Farm Mechanization; Soil Science; Irrigation Systems; Fertilizer Application; Agribusiness; Crop Management,B.Sc Agriculture,Vadodara
983,Design,Illustration; 3D Modeling; Graphic Design; AutoCAD; Adobe Photoshop,Diploma in Design,Bhopal
984,FMCG,Sales; Consumer Behaviour; Supply Chain; Marketing; Brand Management; Product Management,MBA Marketing,Agra
985,Defence,Military Tactics; Strategic Planning; Aerospace Engineering; Cybersecurity,B.Tech Electronics,Meerut
986,Finance/Banking,Investment Banking; Auditing; Financial Analysis; Data Analysis,B.Com,Aligarh
987,IT/Software,Data Analysis; Machine Learning; Web Development; Python,MCA,Guwahati
988,Healthcare,Phlebotomy; Patient Care; Surgery Assistance; Clinical Research,Diploma in Medical Lab Technology,Meerut
989,Chemical Industries,Process Design; Quality Control; Material Science,B.Tech Chemical Engineering,Agra
990,Design,Adobe Photoshop; Illustration; UI/UX; Graphic Design; AutoCAD; 3D Modeling,Diploma in Design,Aligarh
991,Chemical Industries,Quality Control; Material Science; Industrial Chemistry; Process Design; Safety Management; Chemical Engineering,M.Sc Chemistry,Bareilly
992,Agriculture,Crop Management; Fertilizer Application; Irrigation Systems; Agribusiness,M.Sc Agriculture,Lucknow
993,Pharamaceutical,Quality Control; Regulatory Affairs; Drug Development; Pharmacology,PhD Pharmacy,Navi Mumbai
994,Research,Data Analysis; Laboratory Techniques; Statistics,M.Sc Research Methodology,Mysore
995,Finance/Banking,Financial Analysis; Investment Banking; Risk Management; Auditing,MBA Finance,Allahabad
996,Healthcare,Surgery Assistance; Public Health; Phlebotomy,MD,Ludhiana
997,Housing/Infrastructure,Project Management; Urban Planning; Structural Analysis,Diploma Civil,Raipur
998,Defence,Navigation Systems; Military Tactics; Weapon Systems; Strategic Planning,B.Tech Electronics,Bhopal
999,Pharamaceutical,Drug Development; Medical Research; Quality Control; Pharmacology; Regulatory Affairs; Clinical Trials,B.Pharm,Aligarh
1000,Finance/Banking,Financial Analysis; Risk Management; Auditing; Accounting; Data Analysis,B.Com,Nashik
